Municipio;Qtde;Principal
3131208;8500;Feijao
3131307;100240;Soja
3131406;9253;Café
3131604;191640;Soja
3131802;62057;Laranja
3132008;787200;Soja
3132107;468000;Soja
3132206;61800;Milho
3132404;36160;Mandioca
3132503;7332;Café
3132602;54756;Milho
3133006;30168;Mandioca
3133204;64350;Soja
3133303;8521;Café
3133402;137088;Laranja
3133501;1050;Feijao
3133758;15600;Feijao
3134301;20700;Mandioca
3134400;720000;Cana-de-acucar
3135050;7500;Trigo
3135209;50100;Milho
3135506;6180;Mandioca
3135605;273600;Soja
3135902;8050;Mandioca
3136009;9000;Café
3136108;75000;Soja
3136405;204000;Laranja
3136504;2107;Feijao
3136520;20384;Café
3136579;109046;Soja
